
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:man:knight_commander_of_avalon.png?30&nolink}}    | **Knight Commander of Avalon**\ {{:misc:gui:gold.png?15&nolink}} 120\ {{:misc:gui:resources.png?15&nolink}} 56   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:man:landless_knight.png?30&nolink}}    | **Landless Knight**\ {{:misc:gui:gold.png?15&nolink}} 13\ {{:misc:gui:resources.png?15&nolink}} 24   |  | unit  |  Manual description here.  |
| {{:nations:ma:man:logrian_cavalry.png?30&nolink}}    | **Logrian Cavalry**\ {{:misc:gui:gold.png?15&nolink}} 25\ {{:misc:gui:resources.png?15&nolink}} 19   |  | unit  |  Manual description here.  |
| {{:nations:ma:man:knight_of_man.png?30&nolink}}    | **Knight of Man**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 51   |  | unit  |  Manual description here.  |
| {{:nations:ma:man:warden_of_avalon.png?30&nolink}}    | **Warden of Avalon**\ {{:misc:gui:gold.png?15&nolink}} 26\ {{:misc:gui:resources.png?15&nolink}} 28   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:ma:man:knight_of_avalon.png?30&nolink}}    | **Knight of Avalon**\ {{:misc:gui:gold.png?15&nolink}} 60\ {{:misc:gui:resources.png?15&nolink}} 56   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:ma:man:logrian_slinger_2.png?30&nolink}}    | **Logrian Slinger**\ {{:misc:gui:gold.png?15&nolink}} 9\ {{:misc:gui:resources.png?15&nolink}} 8   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:ma:man:logrian_warrior_2.png?30&nolink}}    | **Logrian Warrior**\ {{:misc:gui:gold.png?15&nolink}} 12\ {{:misc:gui:resources.png?15&nolink}} 15   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:ma:man:logrian_cavalry_2.png?30&nolink}}    | **Logrian Cavalry**\ {{:misc:gui:gold.png?15&nolink}} 25\ {{:misc:gui:resources.png?15&nolink}} 19   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:ma:man:forester_2.png?30&nolink}}    | **Forester**\ {{:misc:gui:gold.png?15&nolink}} 12\ {{:misc:gui:resources.png?15&nolink}} 7   |  | unit (forest)  |  Manual description here.  |

==== Summons ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:man:barghest.png?30&nolink}}    | **Barghest**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:man:black_dog.png?30&nolink}}    | **Black Dog**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:man:cu_sidhe.png?30&nolink}}    | **Cu Sidhe**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:man:blind_one.png?30&nolink}}    | **Blind One**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:man:cambion.png?30&nolink}}    | **Cambion**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:man:ettin_king.png?30&nolink}}    | **Ettin King**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:man:fay.png?30&nolink}}    | **Fay**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:man:green_knight.png?30&nolink}}    | **Green Knight**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:man:heroine.png?30&nolink}}    | **Heroine**  |  | hero (unique)  |  Manual description here.  |
