
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:mictlan:moon_priest.png?30&nolink}}    | **Moon Priest**\ {{:misc:gui:gold.png?15&nolink}} 125\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:mictlan:tlaloque_of_the_south.png?30&nolink}}    | **Tlaloque of the South**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:mictlan:tlaloque_of_the_west.png?30&nolink}}    | **Tlaloque of the West**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:mictlan:beast_bat.png?30&nolink}}    | **Beast Bat**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:mictlan:jade_serpent.png?30&nolink}}    | **Jade Serpent**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:mictlan:jaguar.png?30&nolink}}    | **Jaguar**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:mictlan:jaguar_toad.png?30&nolink}}    | **Jaguar Toad**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:mictlan:monster_toad.png?30&nolink}}    | **Monster Toad**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:mictlan:ozelotl.png?30&nolink}}    | **Ozelotl**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:mictlan:king_of_legends.png?30&nolink}}    | **King of Legends**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:mictlan:priest_king.png?30&nolink}}    | **Priest King**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:mictlan:priest_king_2.png?30&nolink}}    | **Priest King**  |  | hero (unique)  |  Manual description here.  |
