
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:agartha:ancient_lord.png?30&nolink}}    | **Ancient Lord**\ {{:misc:gui:gold.png?15&nolink}} 125\ {{:misc:gui:resources.png?15&nolink}} 23   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:agartha:olm_sage.png?30&nolink}}    | **Olm Sage**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:attentive_statue.png?30&nolink}}    | **Attentive Statue**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:earth_elemental.png?30&nolink}}    | **Earth Elemental**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:earth_elemental_2.png?30&nolink}}    | **Earth Elemental**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:earth_elemental_3.png?30&nolink}}    | **Earth Elemental**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:earth_elemental_4.png?30&nolink}}    | **Earth Elemental**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:granite_guardian.png?30&nolink}}    | **Granite Guardian**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:great_olm.png?30&nolink}}    | **Great Olm**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:living_mercury.png?30&nolink}}    | **Living Mercury**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:living_mercury_2.png?30&nolink}}    | **Living Mercury**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:living_mercury_3.png?30&nolink}}    | **Living Mercury**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:living_mercury_4.png?30&nolink}}    | **Living Mercury**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:living_mercury_5.png?30&nolink}}    | **Living Mercury**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:magma_child.png?30&nolink}}    | **Magma Child**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:penumbral.png?30&nolink}}    | **Penumbral**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:sentinel.png?30&nolink}}    | **Sentinel**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:shard_wight.png?30&nolink}}    | **Shard Wight**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:agartha:umbral.png?30&nolink}}    | **Umbral**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:agartha:decrepit.png?30&nolink}}    | **Decrepit**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:agartha:mason_of_the_underworld.png?30&nolink}}    | **Mason of the Underworld**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:agartha:onyx_oracle.png?30&nolink}}    | **Onyx Oracle**  |  | hero (unique)  |  Manual description here.  |
