
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ea:ur:entu.png?30&nolink}}    | **Entu**\ {{:misc:gui:gold.png?15&nolink}} 265\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ea:ur:enkidu_warrior.png?30&nolink}}    | **Enkidu Warrior**\ {{:misc:gui:gold.png?15&nolink}} 16\ {{:misc:gui:resources.png?15&nolink}} 5   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:ea:ur:enkidu_warrior_2.png?30&nolink}}    | **Enkidu Warrior**\ {{:misc:gui:gold.png?15&nolink}} 16\ {{:misc:gui:resources.png?15&nolink}} 5   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:ea:ur:enkidu_hunter.png?30&nolink}}    | **Enkidu Hunter**\ {{:misc:gui:gold.png?15&nolink}} 16\ {{:misc:gui:resources.png?15&nolink}} 4   |  | unit (swamp)  |  Manual description here.  |
| {{:nations:ea:ur:enkidu_reaver.png?30&nolink}}    | **Enkidu Reaver**\ {{:misc:gui:gold.png?15&nolink}} 26\ {{:misc:gui:resources.png?15&nolink}} 4   |  | unit (swamp)  |  Manual description here.  |
| {{:nations:ea:ur:kulullu.png?30&nolink}}    | **Kulullu**\ {{:misc:gui:gold.png?15&nolink}} 18\ {{:misc:gui:resources.png?15&nolink}} 2   |  | unit (u-water)  |  Manual description here.  |
| {{:nations:ea:ur:kulullu_soldier.png?30&nolink}}    | **Kulullu Soldier**\ {{:misc:gui:gold.png?15&nolink}} 18\ {{:misc:gui:resources.png?15&nolink}} 10   |  | unit (u-water)  |  Manual description here.  |

==== Summons ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ea:ur:ugallu.png?30&nolink}}    | **Ugallu**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:ur:umu-apkallu.png?30&nolink}}    | **Umu-apkallu**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:ur:anzu.png?30&nolink}}    | **Anzu**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ea:ur:buffalo.png?30&nolink}}    | **Buffalo**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ea:ur:kusarikku.png?30&nolink}}    | **Kusarikku**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ea:ur:apkallu.png?30&nolink}}    | **Apkallu**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ea:ur:entu_of_the_moon.png?30&nolink}}    | **Entu of the Moon**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ea:ur:favored_of_enki.png?30&nolink}}    | **Favored of Enki**  |  | hero (unique)  |  Manual description here.  |
