
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:pythium:serpent_lord.png?30&nolink}}    | **Serpent Lord**\ {{:misc:gui:gold.png?15&nolink}} 100\ {{:misc:gui:resources.png?15&nolink}} 56   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:la:pythium:comitatense.png?30&nolink}}    | **Comitatense**\ {{:misc:gui:gold.png?15&nolink}} 15\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit  |  Manual description here.  |
| {{:nations:la:pythium:limitane_standard.png?30&nolink}}    | **Limitane Standard**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit  |  Manual description here.  |
| {{:nations:la:pythium:palatine.png?30&nolink}}    | **Palatine**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 30   |  | unit  |  Manual description here.  |
| {{:nations:la:pythium:standard.png?30&nolink}}    | **Standard**\ {{:misc:gui:gold.png?15&nolink}} 30\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit  |  Manual description here.  |
| {{:nations:la:pythium:hydra_hatchling.png?30&nolink}}    | **Hydra Hatchling**\ {{:misc:gui:gold.png?15&nolink}} 35\ {{:misc:gui:resources.png?15&nolink}} 1   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:la:pythium:serpent_cataphract.png?30&nolink}}    | **Serpent Cataphract**\ {{:misc:gui:gold.png?15&nolink}} 65\ {{:misc:gui:resources.png?15&nolink}} 56   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:la:pythium:hydra.png?30&nolink}}    | **Hydra**\ {{:misc:gui:gold.png?15&nolink}} 210\ {{:misc:gui:resources.png?15&nolink}} 1   |  | unit (cap only)  |  Manual description here.  |
| {{:nations:la:pythium:limitane_2.png?30&nolink}}    | **Limitane**\ {{:misc:gui:gold.png?15&nolink}} 8\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:la:pythium:milite_2.png?30&nolink}}    | **Milite**\ {{:misc:gui:gold.png?15&nolink}} 8\ {{:misc:gui:resources.png?15&nolink}} 9   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:la:pythium:limitane_primani_2.png?30&nolink}}    | **Limitane Primani**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 30   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:la:pythium:limitane_solaris.png?30&nolink}}    | **Limitane Solaris**\ {{:misc:gui:gold.png?15&nolink}} 14\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:la:pythium:primani_solaris.png?30&nolink}}    | **Primani Solaris**\ {{:misc:gui:gold.png?15&nolink}} 18\ {{:misc:gui:resources.png?15&nolink}} 30   |  | unit (foreign)  |  Manual description here.  |
| {{:nations:la:pythium:limitane_standard_2.png?30&nolink}}    | **Limitane Standard**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit (foreign)  |  Manual description here.  |

==== Summons ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:pythium:daughter_of_typhon.png?30&nolink}}    | **Daughter of Typhon**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:pythium:hamadryad.png?30&nolink}}    | **Hamadryad**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:pythium:lar.png?30&nolink}}    | **Lar**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:pythium:satyr.png?30&nolink}}    | **Satyr**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:pythium:great_lion.png?30&nolink}}    | **Great Lion**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:pythium:maenad.png?30&nolink}}    | **Maenad**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:pythium:hero.png?30&nolink}}    | **Hero**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:la:pythium:pontifex_serpentus.png?30&nolink}}    | **Pontifex Serpentus**  |  | hero (unique)  |  Manual description here.  |
