
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:ind:bishop_general.png?30&nolink}}    | **Bishop General**\ {{:misc:gui:gold.png?15&nolink}} 115\ {{:misc:gui:resources.png?15&nolink}} 15   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ma:ind:magog_flesh-hunter.png?30&nolink}}    | **Magog Flesh-Hunter**\ {{:misc:gui:gold.png?15&nolink}} 20\ {{:misc:gui:resources.png?15&nolink}} 5   |  | unit (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:gog_reaver.png?30&nolink}}    | **Gog Reaver**\ {{:misc:gui:gold.png?15&nolink}} 28\ {{:misc:gui:resources.png?15&nolink}} 16   |  | unit (mountain)  |  Manual description here.  |
| {{:nations:ma:ind:piconye_peasant.png?30&nolink}}    | **Piconye Peasant**\ {{:misc:gui:gold.png?15&nolink}} 6\ {{:misc:gui:resources.png?15&nolink}} 1   |  | unit (plains)  |  Manual description here.  |
| {{:nations:ma:ind:piconye_slinger.png?30&nolink}}    | **Piconye Slinger**\ {{:misc:gui:gold.png?15&nolink}} 6\ {{:misc:gui:resources.png?15&nolink}} 2   |  | unit (plains)  |  Manual description here.  |
| {{:nations:ma:ind:piconye_spearman.png?30&nolink}}    | **Piconye Spearman**\ {{:misc:gui:gold.png?15&nolink}} 7\ {{:misc:gui:resources.png?15&nolink}} 11   |  | unit (plains)  |  Manual description here.  |
| {{:nations:ma:ind:piconye_soldier.png?30&nolink}}    | **Piconye Soldier**\ {{:misc:gui:gold.png?15&nolink}} 8\ {{:misc:gui:resources.png?15&nolink}} 11   |  | unit (plains)  |  Manual description here.  |
| {{:nations:ma:ind:lady_archer.png?30&nolink}}    | **Lady Archer**\ {{:misc:gui:gold.png?15&nolink}} 10\ {{:misc:gui:resources.png?15&nolink}} 6   |  | unit (plains)  |  Manual description here.  |
| {{:nations:ma:ind:lady_warrior.png?30&nolink}}    | **Lady Warrior**\ {{:misc:gui:gold.png?15&nolink}} 12\ {{:misc:gui:resources.png?15&nolink}} 26   |  | unit (plains)  |  Manual description here.  |
| {{:nations:ma:ind:lady_knight.png?30&nolink}}    | **Lady Knight**\ {{:misc:gui:gold.png?15&nolink}} 45\ {{:misc:gui:resources.png?15&nolink}} 47   |  | unit (plains)  |  Manual description here.  |
| {{:nations:ma:ind:giant_of_the_lost_tribe.png?30&nolink}}    | **Giant of the Lost Tribe**\ {{:misc:gui:gold.png?15&nolink}} 50\ {{:misc:gui:resources.png?15&nolink}} 53   |  | unit (waste)  |  Manual description here.  |

==== Summons ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:ind:arel.png?30&nolink}}    | **Arel**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:chayot.png?30&nolink}}    | **Chayot**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:chayot_2.png?30&nolink}}    | **Chayot**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:chayot_3.png?30&nolink}}    | **Chayot**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:chayot_4.png?30&nolink}}    | **Chayot**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:grigori.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:grigori_2.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:grigori_3.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:grigori_4.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:grigori_5.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:grigori_6.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:hashmal.png?30&nolink}}    | **Hashmal**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:malakh.png?30&nolink}}    | **Malakh**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:ophan.png?30&nolink}}    | **Ophan**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:yllerion.png?30&nolink}}    | **Yllerion**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:buffalo.png?30&nolink}}    | **Buffalo**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:cyclops.png?30&nolink}}    | **Cyclops**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:elephant.png?30&nolink}}    | **Elephant**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:great_lion.png?30&nolink}}    | **Great Lion**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ma:ind:tiger.png?30&nolink}}    | **Tiger**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ma:ind:protopope.png?30&nolink}}    | **Protopope**\ {{:misc:gui:gold.png?15&nolink}} 260\ {{:misc:gui:resources.png?15&nolink}} 18   |  | hero (unique)  |  Manual description here.  |
| {{:nations:ma:ind:arch_pope.png?30&nolink}}    | **Arch Pope**\ {{:misc:gui:gold.png?15&nolink}} 455\ {{:misc:gui:resources.png?15&nolink}} 18   |  | hero (unique)  |  Manual description here.  |
