
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:jomon:shugenja_2.png?30&nolink}}    | **Shugenja**\ {{:misc:gui:gold.png?15&nolink}} 95\ {{:misc:gui:resources.png?15&nolink}} 1   |  | cmdr (mountain)  |  Manual description here.  |
| {{:nations:la:jomon:jigami.png?30&nolink}}    | **Jigami**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:kaijin.png?30&nolink}}    | **Kaijin**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:kenzoku.png?30&nolink}}    | **Kenzoku**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:kitsune.png?30&nolink}}    | **Kitsune**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:kitsune_2.png?30&nolink}}    | **Kitsune**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:mori-no-kami.png?30&nolink}}    | **Mori-no-kami**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:mori-no-kami_2.png?30&nolink}}    | **Mori-no-kami**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:mujina_2.png?30&nolink}}    | **Mujina**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:nushi.png?30&nolink}}    | **Nushi**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_spirit_6.png?30&nolink}}    | **Oni Spirit**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_spirit_7.png?30&nolink}}    | **Oni Spirit**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:shura.png?30&nolink}}    | **Shura**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:swamp_serpent.png?30&nolink}}    | **Swamp Serpent**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:tanuki.png?30&nolink}}    | **Tanuki**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:tanuki_2.png?30&nolink}}    | **Tanuki**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:tatsu.png?30&nolink}}    | **Tatsu**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:ujigami.png?30&nolink}}    | **Ujigami**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:yama-no-kami.png?30&nolink}}    | **Yama-no-kami**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_shugo.png?30&nolink}}    | **Oni Shugo**\ {{:misc:gui:gold.png?15&nolink}} 50\ {{:misc:gui:resources.png?15&nolink}} 38   |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:mujina.png?30&nolink}}    | **Mujina**\ {{:misc:gui:gold.png?15&nolink}} 100\ {{:misc:gui:resources.png?15&nolink}} 5   |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:dai_oni.png?30&nolink}}    | **Dai Oni**\ {{:misc:gui:gold.png?15&nolink}} 105\ {{:misc:gui:resources.png?15&nolink}} 45   |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:aka-oni.png?30&nolink}}    | **Aka-Oni**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:ao-oni.png?30&nolink}}    | **Ao-Oni**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:horse-face.png?30&nolink}}    | **Horse-face**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:kappa.png?30&nolink}}    | **Kappa**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:karasu_tengu.png?30&nolink}}    | **Karasu Tengu**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:ko-oni.png?30&nolink}}    | **Ko-Oni**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:konoha_tengu.png?30&nolink}}    | **Konoha Tengu**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:kuro-oni.png?30&nolink}}    | **Kuro-Oni**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:okami.png?30&nolink}}    | **Okami**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni.png?30&nolink}}    | **Oni**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_spirit_2.png?30&nolink}}    | **Oni Spirit**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_spirit_3.png?30&nolink}}    | **Oni Spirit**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_spirit_4.png?30&nolink}}    | **Oni Spirit**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_spirit_5.png?30&nolink}}    | **Oni Spirit**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:oni_spirit.png?30&nolink}}    | **Oni spirit**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:ox-head.png?30&nolink}}    | **Ox-head**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:tengu_warrior.png?30&nolink}}    | **Tengu Warrior**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:la:jomon:tiger.png?30&nolink}}    | **Tiger**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:la:jomon:red_devil.png?30&nolink}}    | **Red Devil**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:la:jomon:red_tengu.png?30&nolink}}    | **Red Tengu**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:la:jomon:son_of_the_dragon_king.png?30&nolink}}    | **Son of the Dragon King**  |  | hero (unique)  |  Manual description here.  |
