
==== Recruitable ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ea:hinnom:ba'al.png?30&nolink}}    | **Ba'al**\ {{:misc:gui:gold.png?15&nolink}} 455\ {{:misc:gui:resources.png?15&nolink}} 3   |  | cmdr (cap only)  |  Manual description here.  |
| {{:nations:ea:hinnom:avvite_horn_blower.png?30&nolink}}    | **Avvite Horn Blower**\ {{:misc:gui:gold.png?15&nolink}} 35\ {{:misc:gui:resources.png?15&nolink}} 25   |  | unit  |  Manual description here.  |
| {{:nations:ea:hinnom:dawn_guard.png?30&nolink}}    | **Dawn Guard**\ {{:misc:gui:gold.png?15&nolink}} 40\ {{:misc:gui:resources.png?15&nolink}} 32   |  | unit  |  Manual description here.  |
| {{:nations:ea:hinnom:avvite_charioteer.png?30&nolink}}    | **Avvite Charioteer**\ {{:misc:gui:gold.png?15&nolink}} 75\ {{:misc:gui:resources.png?15&nolink}} 31   |  | unit  |  Manual description here.  |
| {{:nations:ea:hinnom:rephaite_warrior.png?30&nolink}}    | **Rephaite Warrior**\ {{:misc:gui:gold.png?15&nolink}} 130\ {{:misc:gui:resources.png?15&nolink}} 53   |  | unit (cap only)  |  Manual description here.  |

==== Summons ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ea:hinnom:grigori.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:grigori_2.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:grigori_3.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:grigori_4.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:grigori_5.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:grigori_6.png?30&nolink}}    | **Grigori**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:lilot.png?30&nolink}}    | **Lilot**  |  | cmdr (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:mazzik.png?30&nolink}}    | **Mazzik**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:se'ir.png?30&nolink}}    | **Se'ir**  |  | unit (Summon)  |  Manual description here.  |
| {{:nations:ea:hinnom:shed.png?30&nolink}}    | **Shed**  |  | unit (Summon)  |  Manual description here.  |

==== Heroes ====

^ Sprite  ^ Unit Name  ^ Magic    ^ Type  ^ Comments  ^
| {{:nations:ea:hinnom:son_of_arakiel.png?30&nolink}}    | **Son of Arakiel**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ea:hinnom:son_of_azazel.png?30&nolink}}    | **Son of Azazel**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ea:hinnom:son_of_ezekiel.png?30&nolink}}    | **Son of Ezekiel**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ea:hinnom:son_of_kokabel.png?30&nolink}}    | **Son of Kokabel**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ea:hinnom:son_of_semyaza.png?30&nolink}}    | **Son of Semyaza**  |  | hero (unique)  |  Manual description here.  |
| {{:nations:ea:hinnom:son_of_shamshiel.png?30&nolink}}    | **Son of Shamshiel**  |  | hero (unique)  |  Manual description here.  |
